Step 1/200, Loss: 0.011046194471418858
Step 2/200, Loss: 0.010778975673019886
Step 3/200, Loss: 0.01103708054870367
Step 4/200, Loss: 0.012387003749608994
Step 5/200, Loss: 0.011935168877243996
Step 6/200, Loss: 0.0109571423381567
Step 7/200, Loss: 0.010722873732447624
Step 8/200, Loss: 0.011328163556754589
Step 9/200, Loss: 0.01097246166318655
Step 10/200, Loss: 0.01079938467592001
Step 11/200, Loss: 0.010751303285360336
Step 12/200, Loss: 0.010936345905065536
Step 13/200, Loss: 0.010970676317811012
Step 14/200, Loss: 0.010730567388236523
Step 15/200, Loss: 0.011184285394847393
Step 16/200, Loss: 0.01127462275326252
Step 17/200, Loss: 0.011089270003139973
Step 18/200, Loss: 0.013246565125882626
Step 19/200, Loss: 0.011416909284889698
Step 20/200, Loss: 0.011019625701010227
Step 21/200, Loss: 0.011955711990594864
Step 22/200, Loss: 0.010771390050649643
Step 23/200, Loss: 0.011214297264814377
Step 24/200, Loss: 0.010856863111257553
Step 25/200, Loss: 0.011309539899230003
Step 26/200, Loss: 0.011161703616380692
Step 27/200, Loss: 0.011006958782672882
Step 28/200, Loss: 0.011125634424388409
Step 29/200, Loss: 0.011149079538881779
Step 30/200, Loss: 0.010975073091685772
Step 31/200, Loss: 0.010617787949740887
Step 32/200, Loss: 0.01103223767131567
Step 33/200, Loss: 0.011046234518289566
Step 34/200, Loss: 0.011018055491149426
Step 35/200, Loss: 0.01106174010783434
Step 36/200, Loss: 0.011030846275389194
Step 37/200, Loss: 0.010922707617282867
Step 38/200, Loss: 0.011237169615924358
Step 39/200, Loss: 0.01118064671754837
Step 40/200, Loss: 0.01077199075371027
Step 41/200, Loss: 0.011003739200532436
Step 42/200, Loss: 0.010976347140967846
Step 43/200, Loss: 0.011194683611392975
Step 44/200, Loss: 0.010932008735835552
Step 45/200, Loss: 0.011165624484419823
Step 46/200, Loss: 0.011002752929925919
Step 47/200, Loss: 0.010989353992044926
Step 48/200, Loss: 0.01051225047558546
Step 49/200, Loss: 0.010803302749991417
Step 50/200, Loss: 0.01072340551763773
Step 51/200, Loss: 0.011080512776970863
Step 52/200, Loss: 0.011072483845055103
Step 53/200, Loss: 0.011473278515040874
Step 54/200, Loss: 0.010976516641676426
Step 55/200, Loss: 0.011348935775458813
Step 56/200, Loss: 0.010600772686302662
Step 57/200, Loss: 0.01091772597283125
Step 58/200, Loss: 0.010757969692349434
Step 59/200, Loss: 0.011011605150997639
Step 60/200, Loss: 0.011497993022203445
Step 61/200, Loss: 0.010857474990189075
Step 62/200, Loss: 0.011147605255246162
Step 63/200, Loss: 0.010738755576312542
Step 64/200, Loss: 0.01107109896838665
Step 65/200, Loss: 0.011978858150541782
Step 66/200, Loss: 0.010786609724164009
Step 67/200, Loss: 0.011267459951341152
Step 68/200, Loss: 0.011025886051356792
Step 69/200, Loss: 0.010991986840963364
Step 70/200, Loss: 0.011675017885863781
Step 71/200, Loss: 0.010686690919101238
Step 72/200, Loss: 0.010738972574472427
Step 73/200, Loss: 0.011002007871866226
Step 74/200, Loss: 0.011114546097815037
Step 75/200, Loss: 0.010783268138766289
Step 76/200, Loss: 0.011097006499767303
Step 77/200, Loss: 0.010685266926884651
Step 78/200, Loss: 0.011012818664312363
Step 79/200, Loss: 0.010866357944905758
Step 80/200, Loss: 0.010722107253968716
Step 81/200, Loss: 0.011315381154417992
Step 82/200, Loss: 0.010669872164726257
Step 83/200, Loss: 0.01058223843574524
Step 84/200, Loss: 0.012643147259950638
Step 85/200, Loss: 0.011205339804291725
Step 86/200, Loss: 0.011036334559321404
Step 87/200, Loss: 0.011214399710297585
Step 88/200, Loss: 0.010996286757290363
Step 89/200, Loss: 0.010606694035232067
Step 90/200, Loss: 0.010725438594818115
Step 91/200, Loss: 0.011173428036272526
Step 92/200, Loss: 0.01088366936892271
Step 93/200, Loss: 0.011940800584852695
Step 94/200, Loss: 0.01064682099968195
Step 95/200, Loss: 0.011272971518337727
Step 96/200, Loss: 0.011004328727722168
Step 97/200, Loss: 0.01046799961477518
Step 98/200, Loss: 0.010618707165122032
Step 99/200, Loss: 0.010984818451106548
Step 100/200, Loss: 0.010986949317157269
Step 101/200, Loss: 0.010809658095240593
Step 102/200, Loss: 0.010749561712145805
Step 103/200, Loss: 0.010765970684587955
Step 104/200, Loss: 0.010986250825226307
Step 105/200, Loss: 0.010718291625380516
Step 106/200, Loss: 0.010601517744362354
Step 107/200, Loss: 0.010641895234584808
Step 108/200, Loss: 0.011209231801331043
Step 109/200, Loss: 0.010596045292913914
Step 110/200, Loss: 0.011061123572289944
Step 111/200, Loss: 0.010384040884673595
Step 112/200, Loss: 0.010833918116986752
Step 113/200, Loss: 0.010764849372208118
Step 114/200, Loss: 0.010749846696853638
Step 115/200, Loss: 0.010507622733712196
Step 116/200, Loss: 0.01066069956868887
Step 117/200, Loss: 0.010618554428219795
Step 118/200, Loss: 0.010671518743038177
Step 119/200, Loss: 0.01073532085865736
Step 120/200, Loss: 0.010744062252342701
Step 121/200, Loss: 0.010871331207454205
Step 122/200, Loss: 0.010658403858542442
Step 123/200, Loss: 0.010579102672636509
Step 124/200, Loss: 0.010614247061312199
Step 125/200, Loss: 0.011032689362764359
Step 126/200, Loss: 0.010796675458550453
Step 127/200, Loss: 0.012354844249784946
Step 128/200, Loss: 0.010803700424730778
Step 129/200, Loss: 0.012326891534030437
Step 130/200, Loss: 0.01075934898108244
Step 131/200, Loss: 0.010893303900957108
Step 132/200, Loss: 0.01095365360379219
Step 133/200, Loss: 0.010801319032907486
Step 134/200, Loss: 0.010573954321444035
Step 135/200, Loss: 0.01097916904836893
Step 136/200, Loss: 0.010797995142638683
Step 137/200, Loss: 0.011080924421548843
Step 138/200, Loss: 0.010626239702105522
Step 139/200, Loss: 0.011102264747023582
Step 140/200, Loss: 0.011609511449933052
Step 141/200, Loss: 0.010709838941693306
Step 142/200, Loss: 0.010910751298069954
Step 143/200, Loss: 0.010411297902464867
Step 144/200, Loss: 0.010623186826705933
Step 145/200, Loss: 0.011229940690100193
Step 146/200, Loss: 0.011148704215884209
Step 147/200, Loss: 0.010836572386324406
Step 148/200, Loss: 0.010691308416426182
Step 149/200, Loss: 0.010587148368358612
Step 150/200, Loss: 0.010445811785757542
Step 151/200, Loss: 0.010849677957594395
Step 152/200, Loss: 0.010867904871702194
Step 153/200, Loss: 0.01094893366098404
Step 154/200, Loss: 0.010776503942906857
Step 155/200, Loss: 0.010716620832681656
Step 156/200, Loss: 0.010683796368539333
Step 157/200, Loss: 0.010510723106563091
Step 158/200, Loss: 0.011358845978975296
Step 159/200, Loss: 0.010799981653690338
Step 160/200, Loss: 0.010800124146044254
Step 161/200, Loss: 0.01183630246669054
Step 162/200, Loss: 0.010568572208285332
Step 163/200, Loss: 0.01108404342085123
Step 164/200, Loss: 0.010269571095705032
Step 165/200, Loss: 0.010525031946599483
Step 166/200, Loss: 0.010714571923017502
Step 167/200, Loss: 0.010552463121712208
Step 168/200, Loss: 0.01046523917466402
Step 169/200, Loss: 0.011166434735059738
Step 170/200, Loss: 0.011740211397409439
Step 171/200, Loss: 0.011950123123824596
Step 172/200, Loss: 0.010554489679634571
Step 173/200, Loss: 0.010631583631038666
Step 174/200, Loss: 0.010643522255122662
Step 175/200, Loss: 0.010816018097102642
Step 176/200, Loss: 0.010580435395240784
Step 177/200, Loss: 0.010939915664494038
Step 178/200, Loss: 0.010608495213091373
Step 179/200, Loss: 0.010804989375174046
Step 180/200, Loss: 0.010625924915075302
Step 181/200, Loss: 0.011707397177815437
Step 182/200, Loss: 0.010724486783146858
Step 183/200, Loss: 0.010528412647545338
Step 184/200, Loss: 0.01038881205022335
Step 185/200, Loss: 0.010845405049622059
Step 186/200, Loss: 0.010699552483856678
Step 187/200, Loss: 0.010640992783010006
Step 188/200, Loss: 0.011649888940155506
Step 189/200, Loss: 0.010805156081914902
Step 190/200, Loss: 0.010472029447555542
Step 191/200, Loss: 0.010533221997320652
Step 192/200, Loss: 0.010619859211146832
Step 193/200, Loss: 0.010372933000326157
Step 194/200, Loss: 0.01045980118215084
Step 195/200, Loss: 0.010572335682809353
Step 196/200, Loss: 0.010754656046628952
Step 197/200, Loss: 0.010896813124418259
Step 198/200, Loss: 0.010796470567584038
Step 199/200, Loss: 0.010715100914239883
Step 200/200, Loss: 0.010573168285191059
