Step 1/2000, Loss: 0.42591166496276855
Step 2/2000, Loss: 0.4356120228767395
Step 3/2000, Loss: 0.43832290172576904
Step 4/2000, Loss: 0.43296685814857483
Step 5/2000, Loss: 0.4216209352016449
Step 6/2000, Loss: 0.4317677915096283
Step 7/2000, Loss: 0.4274413585662842
Step 8/2000, Loss: 0.42033568024635315
Step 9/2000, Loss: 0.42225033044815063
Step 10/2000, Loss: 0.41440549492836
Step 11/2000, Loss: 0.4156835675239563
Step 12/2000, Loss: 0.4158940315246582
Step 13/2000, Loss: 0.415071040391922
Step 14/2000, Loss: 0.4142967164516449
Step 15/2000, Loss: 0.402529776096344
Step 16/2000, Loss: 0.4086051881313324
Step 17/2000, Loss: 0.40482205152511597
Step 18/2000, Loss: 0.40508508682250977
Step 19/2000, Loss: 0.395347535610199
Step 20/2000, Loss: 0.40173956751823425
Step 21/2000, Loss: 0.39461058378219604
Step 22/2000, Loss: 0.3963383138179779
Step 23/2000, Loss: 0.3919370770454407
Step 24/2000, Loss: 0.3926795721054077
Step 25/2000, Loss: 0.38420388102531433
Step 26/2000, Loss: 0.38685163855552673
Step 27/2000, Loss: 0.38095659017562866
Step 28/2000, Loss: 0.37754926085472107
Step 29/2000, Loss: 0.37261828780174255
Step 30/2000, Loss: 0.37214797735214233
Step 31/2000, Loss: 0.3624052107334137
Step 32/2000, Loss: 0.3759976625442505
Step 33/2000, Loss: 0.3608274459838867
Step 34/2000, Loss: 0.36209630966186523
Step 35/2000, Loss: 0.3652980625629425
Step 36/2000, Loss: 0.3557001054286957
Step 37/2000, Loss: 0.3587755262851715
Step 38/2000, Loss: 0.3455429971218109
Step 39/2000, Loss: 0.3556971549987793
Step 40/2000, Loss: 0.3509407043457031
Step 41/2000, Loss: 0.3375166654586792
Step 42/2000, Loss: 0.3391401767730713
Step 43/2000, Loss: 0.3406451344490051
Step 44/2000, Loss: 0.3382105231285095
Step 45/2000, Loss: 0.33325815200805664
Step 46/2000, Loss: 0.32730305194854736
Step 47/2000, Loss: 0.3310195505619049
Step 48/2000, Loss: 0.3164558410644531
Step 49/2000, Loss: 0.3199950158596039
Step 50/2000, Loss: 0.3170464038848877
Step 51/2000, Loss: 0.3133613169193268
Step 52/2000, Loss: 0.31494593620300293
Step 53/2000, Loss: 0.305338978767395
Step 54/2000, Loss: 0.30712705850601196
Step 55/2000, Loss: 0.31566184759140015
Step 56/2000, Loss: 0.30335405468940735
Step 57/2000, Loss: 0.3003729283809662
Step 58/2000, Loss: 0.2975567579269409
Step 59/2000, Loss: 0.3035413324832916
Step 60/2000, Loss: 0.29257580637931824
Step 61/2000, Loss: 0.2882798910140991
Step 62/2000, Loss: 0.2836762070655823
Step 63/2000, Loss: 0.28777435421943665
Step 64/2000, Loss: 0.2928454577922821
Step 65/2000, Loss: 0.2854495942592621
Step 66/2000, Loss: 0.2863287329673767
Step 67/2000, Loss: 0.2770065367221832
Step 68/2000, Loss: 0.2647755444049835
Step 69/2000, Loss: 0.27903980016708374
Step 70/2000, Loss: 0.2777145206928253
Step 71/2000, Loss: 0.26436862349510193
Step 72/2000, Loss: 0.2618798613548279
