Step 1/2000, Loss: 0.42591166496276855
Step 2/2000, Loss: 0.4356120228767395
Step 3/2000, Loss: 0.43832290172576904
Step 4/2000, Loss: 0.43296685814857483
Step 5/2000, Loss: 0.4216209352016449
Step 6/2000, Loss: 0.4317677915096283
Step 7/2000, Loss: 0.4274413585662842
Step 8/2000, Loss: 0.42033568024635315
Step 9/2000, Loss: 0.42225033044815063
Step 10/2000, Loss: 0.41440549492836
Step 11/2000, Loss: 0.4156835675239563
Step 12/2000, Loss: 0.4158940315246582
Step 13/2000, Loss: 0.415071040391922
Step 14/2000, Loss: 0.4142967164516449
Step 15/2000, Loss: 0.402529776096344
Step 16/2000, Loss: 0.4086051881313324
Step 17/2000, Loss: 0.40482205152511597
Step 18/2000, Loss: 0.40508508682250977
Step 19/2000, Loss: 0.395347535610199
Step 20/2000, Loss: 0.40173956751823425
Step 21/2000, Loss: 0.39461058378219604
Step 22/2000, Loss: 0.3963383138179779
Step 23/2000, Loss: 0.3919370770454407
Step 24/2000, Loss: 0.3926795721054077
Step 25/2000, Loss: 0.38420388102531433
Step 26/2000, Loss: 0.38685163855552673
Step 27/2000, Loss: 0.38095659017562866
Step 28/2000, Loss: 0.37754926085472107
Step 29/2000, Loss: 0.37261828780174255
Step 30/2000, Loss: 0.37214797735214233
Step 31/2000, Loss: 0.3624052107334137
Step 32/2000, Loss: 0.3759976625442505
Step 33/2000, Loss: 0.3608274459838867
Step 34/2000, Loss: 0.36209630966186523
Step 35/2000, Loss: 0.3652980625629425
Step 36/2000, Loss: 0.3557001054286957
Step 37/2000, Loss: 0.3587755262851715
Step 38/2000, Loss: 0.3455429971218109
Step 39/2000, Loss: 0.3556971549987793
Step 40/2000, Loss: 0.3509407043457031
Step 41/2000, Loss: 0.3375166654586792
Step 42/2000, Loss: 0.33927398920059204
Step 43/2000, Loss: 0.34090498089790344
Step 44/2000, Loss: 0.33859696984291077
Step 45/2000, Loss: 0.3337874412536621
Step 46/2000, Loss: 0.32796135544776917
Step 47/2000, Loss: 0.3318074941635132
Step 48/2000, Loss: 0.3174048364162445
Step 49/2000, Loss: 0.3210793733596802
Step 50/2000, Loss: 0.3182302415370941
Step 51/2000, Loss: 0.31461301445961
Step 52/2000, Loss: 0.31624874472618103
Step 53/2000, Loss: 0.306685209274292
Step 54/2000, Loss: 0.3083936274051666
Step 55/2000, Loss: 0.3169756531715393
Step 56/2000, Loss: 0.304728627204895
Step 57/2000, Loss: 0.3016327917575836
Step 58/2000, Loss: 0.2988942861557007
Step 59/2000, Loss: 0.30481281876564026
Step 60/2000, Loss: 0.29384392499923706
Step 61/2000, Loss: 0.28954246640205383
Step 62/2000, Loss: 0.28499314188957214
Step 63/2000, Loss: 0.2890077233314514
Step 64/2000, Loss: 0.29413411021232605
Step 65/2000, Loss: 0.2867125868797302
Step 66/2000, Loss: 0.2875202000141144
Step 67/2000, Loss: 0.2781994342803955
Step 68/2000, Loss: 0.2659883499145508
Step 69/2000, Loss: 0.28028950095176697
Step 70/2000, Loss: 0.27888938784599304
Step 71/2000, Loss: 0.26552003622055054
Step 72/2000, Loss: 0.2630119025707245
